image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001472228_Raw12_f_00018.jpg,6170,5355,2916,2916
0001472229_Raw00_f_00000.jpg,2131,1866,906,906
0001472229_Raw00_f_00007.jpg,11380,10041,5981,5981
0001472229_Raw01_f_00006.jpg,5638,4985,2909,2909
0001472229_Raw01_f_00007.jpg,9696,8636,4583,4583
0001472229_Raw02_f_00005.jpg,2494,2366,1004,1004
0001472229_Raw13_f_00000.jpg,8466,7375,4122,4122
0001472229_Raw13_f_00004.jpg,7768,6827,4484,4484
0001472295_Raw00_f_00006.jpg,2213,2071,1112,1112
0001472295_Raw12_f_00000.jpg,3687,3344,2581,2581
0001472295_Raw12_f_00001.jpg,2164,2076,1532,1532
0001472295_Raw13_f_00007.jpg,2366,2180,1442,1442
0001472295_Raw13_f_00010.jpg,2256,2149,1272,1272
0001472302_Raw01_f_00010.jpg,2690,2574,1232,1232
0001472302_Raw11_f_00001.jpg,942,896,598,598
0001472302_Raw12_f_00001.jpg,2335,2257,1655,1655
0001472302_Raw12_f_00006.jpg,2771,2569,1834,1834
0001472449_Raw13_f_00010.jpg,2828,2673,1689,1689
0001472449_Raw13_f_00012.jpg,3736,3493,1825,1825
0001472453_Raw00_f_00003.jpg,2718,2604,1272,1272
0001472453_Raw00_f_00006.jpg,2562,2372,1052,1052
0001472453_Raw00_f_00009.jpg,2619,2508,1137,1137
0001472453_Raw00_f_00012.jpg,2756,2522,1097,1097
0001472453_Raw01_f_00006.jpg,2734,2595,1335,1335
0001472453_Raw02_f_00006.jpg,3351,3117,1490,1490
0001472453_Raw03_f_00007.jpg,2412,2252,1331,1331
0001472453_Raw03_f_00008.jpg,3014,2755,1469,1469
0001472453_Raw03_f_00010.jpg,3091,2843,1528,1528
0001472453_Raw03_f_00013.jpg,2382,2139,1205,1205
0001473056_Raw01_f_00000.jpg,3852,3560,2692,2692
0001473056_Raw03_f_00000.jpg,3525,3242,1912,1912
0001473056_Raw03_f_00003.jpg,4522,4066,2566,2566
0001473056_Raw11_f_00003.jpg,1864,1677,1066,1066
0001473056_Raw12_f_00002.jpg,3717,3333,2262,2262
