image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001472453_Raw02_f_00006.jpg,3351,3351,2786,2786
0001472453_Raw03_f_00007.jpg,2412,2412,1952,1952
0001472453_Raw03_f_00008.jpg,3014,3014,2402,2402
0001472453_Raw03_f_00010.jpg,3091,3091,2441,2441
0001472453_Raw03_f_00013.jpg,2382,2382,1801,1801
0001473056_Raw01_f_00000.jpg,3852,3852,3455,3455
0001473056_Raw03_f_00000.jpg,3525,3525,2997,2997
0001473056_Raw03_f_00003.jpg,4522,4522,3817,3817
0001473056_Raw11_f_00003.jpg,1864,1864,1551,1551
0001473056_Raw12_f_00002.jpg,3717,3717,3184,3184
0001473056_Raw12_f_00003.jpg,3355,3355,2586,2586
0001473056_Raw13_f_00001.jpg,6603,6603,4763,4763
0001473056_Raw13_f_00002.jpg,3787,3787,3096,3096
0001473056_Raw13_f_00003.jpg,3975,3975,3125,3125
0001473126_Raw00_f_00002.jpg,1714,1714,1476,1476
0001473126_Raw00_f_00004.jpg,1892,1892,1594,1594
0001473126_Raw00_f_00007.jpg,1564,1564,1352,1352
0001473126_Raw00_f_00010.jpg,1782,1782,1550,1550
0001473126_Raw01_f_00001.jpg,2971,2971,2531,2531
0001473126_Raw01_f_00009.jpg,2818,2818,2150,2150
0001473126_Raw01_f_00010.jpg,3547,3547,2987,2987
0001473126_Raw01_f_00012.jpg,2417,2417,2151,2151
0001473126_Raw02_f_00010.jpg,1791,1791,1467,1467
0001473126_Raw03_f_00010.jpg,1497,1497,1328,1328
0001473126_Raw11_f_00012.jpg,708,708,659,659
0001473126_Raw12_f_00012.jpg,2581,2581,2341,2341
0001473148_Raw00_f_00001.jpg,2112,2112,1771,1771
0001473148_Raw00_f_00006.jpg,1766,1766,1593,1593
0001473148_Raw00_f_00008.jpg,1689,1689,1431,1431
0001473148_Raw00_f_00012.jpg,1785,1785,1530,1530
0001473148_Raw01_f_00006.jpg,2659,2659,2398,2398
0001473148_Raw02_f_00007.jpg,1757,1757,1521,1521
0001473148_Raw02_f_00009.jpg,1844,1844,1553,1553
